"gene_symbol","age_num","age","mean_expression"
"Upp1",15,"15M",16.1670060212441
"Upp1",18,"18M",14.6841955158539
"Upp1",21,"21M",16.3202782398796
"Upp1",26,"26M",10.2950674928933
"Upp1",28,"28M",14.4686589310418
"Upp2",3,"3M",185.882430173774
"Upp2",12,"12M",214.763259473594
"Upp2",15,"15M",216.062569438153
"Upp2",18,"18M",196.51542775285
"Upp2",21,"21M",191.732310233703
"Upp2",26,"26M",219.650039507507
"Upp2",28,"28M",191.268007485333
"Uprt",3,"3M",6.86559942719239
"Uprt",12,"12M",7.26192926280098
"Uprt",15,"15M",7.72248341598637
"Uprt",18,"18M",7.18811336937407
"Uprt",21,"21M",6.23908382106496
"Uprt",26,"26M",6.23051149842398
"Uprt",28,"28M",5.55058325650439
