"gene_symbol","sample","expression","age_num","age"
"Uck2","Thalamus_38_Female_15",92.8098166430341,15,"15M"
"Uck2","Thalamus_42_Female_15",133.0238412053,15,"15M"
"Uck2","Thalamus_46_Female_15",124.575549997008,15,"15M"
"Uck2","Thalamus_50_Female_15",161.162516807351,15,"15M"
"Uck2","Thalamus_54_Female_15",142.908083485285,15,"15M"
"Uck2","Thalamus_19_Male_18",125.09647052441,18,"18M"
"Uck2","Thalamus_23_Male_18",152.022730676858,18,"18M"
"Uck2","Thalamus_27_Male_18",119.714818579232,18,"18M"
"Uck2","Thalamus_31_Male_18",119.921736078988,18,"18M"
"Uck2","Thalamus_35_Male_18",113.464419931081,18,"18M"
"Uck2","Thalamus_39_Female_18",112.821000565413,18,"18M"
"Uck2","Thalamus_43_Female_18",146.21875487927,18,"18M"
"Uck2","Thalamus_47_Female_18",130.684753479455,18,"18M"
"Uck2","Thalamus_51_Female_18",116.510775940065,18,"18M"
"Uck2","Thalamus_55_Female_18",134.803912115763,18,"18M"
"Uck2","Thalamus_16_Male_21",110.477487447998,21,"21M"
"Uck2","Thalamus_20_Male_21",120.514617839902,21,"21M"
"Uck2","Thalamus_24_Male_21",132.213113692755,21,"21M"
"Uck2","Thalamus_28_Male_21",120.937511312755,21,"21M"
"Uck2","Thalamus_32_Male_21",125.605895233802,21,"21M"
"Uck2","Thalamus_36_Male_21",134.644218475853,21,"21M"
"Uck2","Thalamus_40_Female_21",145.322307342463,21,"21M"
"Uck2","Thalamus_44_Female_21",131.681913586603,21,"21M"
"Uck2","Thalamus_48_Female_21",99.7426910181055,21,"21M"
"Uck2","Thalamus_52_Female_21",117.028894384407,21,"21M"
"Uck2","Thalamus_56_Female_21",140.747367978008,21,"21M"
"Uck2","Thalamus_11_Male_26",136.441631218506,26,"26M"
"Uck2","Thalamus_14_Male_26",126.846644487397,26,"26M"
"Uck2","Thalamus_2_Male_26",114.51695408803,26,"26M"
"Uck2","Thalamus_5_Male_26",115.63238198786,26,"26M"
"Uck2","Thalamus_8_Male_26",150.022059249741,26,"26M"
"Uck2","Thalamus_57_Male_28",116.225092228063,28,"28M"
"Uck2","Thalamus_58_Male_28",133.506838097325,28,"28M"
"Uck2","Thalamus_59_Male_28",121.434504736249,28,"28M"
"Nudt5","Thalamus_17_Male_3",262.309762086837,3,"3M"
"Nudt5","Thalamus_21_Male_3",262.714782760871,3,"3M"
"Nudt5","Thalamus_25_Male_3",285.494303895967,3,"3M"
"Nudt5","Thalamus_29_Male_3",261.964260111549,3,"3M"
"Nudt5","Thalamus_33_Male_3",332.471191169969,3,"3M"
"Nudt5","Thalamus_37_Female_3",285.083411050616,3,"3M"
"Nudt5","Thalamus_41_Female_3",312.913026179156,3,"3M"
"Nudt5","Thalamus_45_Female_3",251.530868007698,3,"3M"
"Nudt5","Thalamus_49_Female_3",328.365133609389,3,"3M"
"Nudt5","Thalamus_53_Female_3",298.783909943009,3,"3M"
"Nudt5","Thalamus_1_Female_12",298.728359301284,12,"12M"
"Nudt5","Thalamus_10_Female_12",284.374488055633,12,"12M"
"Nudt5","Thalamus_12_Male_12",318.23312144277,12,"12M"
"Nudt5","Thalamus_13_Female_12",260.007655103121,12,"12M"
"Nudt5","Thalamus_15_Male_12",304.379733868085,12,"12M"
"Nudt5","Thalamus_3_Male_12",302.193065994758,12,"12M"
"Nudt5","Thalamus_4_Female_12",277.143457115862,12,"12M"
"Nudt5","Thalamus_6_Male_12",290.898241795606,12,"12M"
"Nudt5","Thalamus_7_Female_12",306.276520943843,12,"12M"
"Nudt5","Thalamus_9_Male_12",304.942724627481,12,"12M"
"Nudt5","Thalamus_18_Male_15",274.912413205785,15,"15M"
"Nudt5","Thalamus_22_Male_15",330.880309953523,15,"15M"
"Nudt5","Thalamus_26_Male_15",294.139670737474,15,"15M"
"Nudt5","Thalamus_30_Male_15",293.512469798583,15,"15M"
"Nudt5","Thalamus_34_Male_15",289.726797186272,15,"15M"
"Nudt5","Thalamus_38_Female_15",303.513184156949,15,"15M"
"Nudt5","Thalamus_42_Female_15",278.072436417859,15,"15M"
"Nudt5","Thalamus_46_Female_15",261.748627521804,15,"15M"
"Nudt5","Thalamus_50_Female_15",276.382777692244,15,"15M"
"Nudt5","Thalamus_54_Female_15",313.29849071774,15,"15M"
"Nudt5","Thalamus_19_Male_18",234.133259022038,18,"18M"
"Nudt5","Thalamus_23_Male_18",278.70833957424,18,"18M"
"Nudt5","Thalamus_27_Male_18",333.37251562689,18,"18M"
"Nudt5","Thalamus_31_Male_18",262.328797672786,18,"18M"
"Nudt5","Thalamus_35_Male_18",288.365672117527,18,"18M"
"Nudt5","Thalamus_39_Female_18",292.62947021654,18,"18M"
"Nudt5","Thalamus_43_Female_18",287.172014430477,18,"18M"
"Nudt5","Thalamus_47_Female_18",307.17653395171,18,"18M"
"Nudt5","Thalamus_51_Female_18",306.298769452499,18,"18M"
"Nudt5","Thalamus_55_Female_18",265.012236318489,18,"18M"
"Nudt5","Thalamus_16_Male_21",269.077070655553,21,"21M"
"Nudt5","Thalamus_20_Male_21",265.897331424546,21,"21M"
"Nudt5","Thalamus_24_Male_21",281.985781547829,21,"21M"
"Nudt5","Thalamus_28_Male_21",294.647754834713,21,"21M"
"Nudt5","Thalamus_32_Male_21",283.945448013383,21,"21M"
"Nudt5","Thalamus_36_Male_21",291.729140031014,21,"21M"
"Nudt5","Thalamus_40_Female_21",287.366667902764,21,"21M"
"Nudt5","Thalamus_44_Female_21",290.640794987573,21,"21M"
"Nudt5","Thalamus_48_Female_21",258.064422792876,21,"21M"
"Nudt5","Thalamus_52_Female_21",311.712475696785,21,"21M"
"Nudt5","Thalamus_56_Female_21",284.008081812765,21,"21M"
"Nudt5","Thalamus_11_Male_26",290.007515747836,26,"26M"
"Nudt5","Thalamus_14_Male_26",317.116611218492,26,"26M"
"Nudt5","Thalamus_2_Male_26",334.82576100024,26,"26M"
"Nudt5","Thalamus_5_Male_26",284.307141034371,26,"26M"
"Nudt5","Thalamus_8_Male_26",305.499466108564,26,"26M"
"Nudt5","Thalamus_57_Male_28",282.377864920294,28,"28M"
"Nudt5","Thalamus_58_Male_28",274.279354458449,28,"28M"
"Nudt5","Thalamus_59_Male_28",291.442811366997,28,"28M"
"Ak8","Thalamus_17_Male_3",11.9231710039471,3,"3M"
"Ak8","Thalamus_21_Male_3",12.7436275219825,3,"3M"
"Ak8","Thalamus_25_Male_3",59.4779799783264,3,"3M"
"Ak8","Thalamus_29_Male_3",59.6993381886864,3,"3M"
"Ak8","Thalamus_33_Male_3",10.5161204019698,3,"3M"
"Ak8","Thalamus_37_Female_3",47.6866796666485,3,"3M"
"Ak8","Thalamus_41_Female_3",28.2291567959789,3,"3M"
"Ak8","Thalamus_45_Female_3",47.4378391418026,3,"3M"
"Ak8","Thalamus_49_Female_3",10.8144205679739,3,"3M"
"Ak8","Thalamus_53_Female_3",21.7618202123845,3,"3M"
"Ak8","Thalamus_1_Female_12",5.02064469413923,12,"12M"
"Ak8","Thalamus_10_Female_12",19.140590542206,12,"12M"
"Ak8","Thalamus_12_Male_12",5.77293644340626,12,"12M"
"Ak8","Thalamus_13_Female_12",10.1301683806411,12,"12M"
"Ak8","Thalamus_15_Male_12",18.4653067512928,12,"12M"
"Ak8","Thalamus_3_Male_12",11.1680046128497,12,"12M"
"Ak8","Thalamus_4_Female_12",2.84249699606012,12,"12M"
"Ak8","Thalamus_6_Male_12",38.733733282567,12,"12M"
"Ak8","Thalamus_7_Female_12",3.23531536208285,12,"12M"
"Ak8","Thalamus_9_Male_12",18.96016940689,12,"12M"
"Ak8","Thalamus_18_Male_15",22.2109114327845,15,"15M"
