"","3","12","15","18","21","26","28"
"Ak4",302.189606686635,301.148172989073,297.290242569966,284.538728863904,277.244937763664,278.303607990076,255.524850290264
"Ak5",912.856769686262,919.411223958639,900.550091785134,889.982962308263,923.491254147357,868.17338510319,878.254873196228
"Ak7",17.4342344376799,15.9409143894722,19.7173737582482,19.1751475559402,18.264459372925,15.3756311176417,21.9222554330482
"Ak8",21.556131014297,20.899646467245,22.8363205902034,23.7519920096558,23.6132197024413,21.8514198339506,27.7782743289021
"Aldh7a1",421.006568230034,416.044082129148,416.318151933772,416.128231384676,415.235461599334,409.371867960166,401.497472292864
"Aprt",217.408567126421,219.694327153425,214.640280052214,218.040752334679,216.97767908343,213.565874739193,219.889081341218
"Asns",1062.1522588237,1077.2527840005,1037.63628495172,1063.00977081103,1038.39261821735,1032.43930574373,1008.91198712867
"Atic",130.482617141384,133.594291673083,134.224873073675,136.845459938683,134.61264266543,131.310064522751,138.305505440227
"B4galt1",27.092618265364,26.7661427892511,28.519448466364,28.3178082910513,30.1621273881211,29.904966777206,31.7265250584508
"Cant1",315.791656694357,314.787622727371,316.63313140205,321.72335513615,322.738171439087,314.33150884671,320.868426734027
"Cmpk1",770.032862184553,737.134722779872,725.073195932141,727.627154549416,719.883720797746,732.885981842262,727.784179754055
"Cmpk2",235.22687341773,236.17760278049,237.859001080744,239.252417426171,243.159383996807,243.939665797642,251.048384555269
"Dck",247.122425203328,227.41181224059,224.946888595739,222.90131938141,223.179234665094,224.718046145468,227.937916824316
"Dctpp1",70.8378836717426,71.9565831402908,69.1106406181366,69.8247404754228,69.4874969389254,67.5485323416774,67.8198243214312
"Dnmt1",242.473930461905,238.130460819375,244.306881190865,239.267742335445,241.748968661668,233.116661029077,237.774391270375
"Dnmt3a",643.062252758675,631.414073964806,620.761420909492,614.523550547786,598.296337254243,608.228821074181,608.155448171629
"Dnmt3b",5.1783422722563,5.37620135667229,5.38477834542259,5.61383068036195,5.43737522904183,5.49327453554606,5.76679686000721
"Entpd1",71.8170669679564,69.0001788572706,72.9289357775828,71.8116373725464,76.7002804291268,74.6487600556492,73.3300572951541
"Entpd3",91.1665923750462,89.6075981562525,94.5816998522718,94.080219704593,93.6794717992301,93.9162446251874,91.7823978387932
"Entpd4",1.25263135928037,1.21369505115323,1.29901367587114,1.11269398166263,1.31663396600516,1.3920793731533,1.48104844210393
"Entpd5",222.986717140055,216.067526668291,232.01674934867,230.871425680566,236.60890516654,238.213679492271,250.243452137314
"Entpd6",394.083229884447,387.489941848609,397.449674325764,390.07604144846,392.694564213216,377.285002460391,381.144276381598
"Entpd8",0.0085044516300069,0.0125074271417554,0.0149176741669217,0.022901247901105,0.00637601821434969,0,0.0754437205963909
