"Sample","age"
"Pons_10_Female_12",12
"Pons_12_Male_12",12
"Pons_15_Male_12",12
"Pons_3_Male_12",12
"Pons_7_Female_12",12
"Subventricular zone_1_Female_12",12
"Subventricular zone_10_Female_12",12
"Subventricular zone_12_Male_12",12
"Subventricular zone_13_Female_12",12
"Subventricular zone_15_Male_12",12
"Subventricular zone_3_Male_12",12
"Subventricular zone_6_Male_12",12
"Subventricular zone_7_Female_12",12
"Subventricular zone_9_Male_12",12
"Thalamus_1_Female_12",12
"Thalamus_10_Female_12",12
"Thalamus_12_Male_12",12
"Thalamus_13_Female_12",12
"Thalamus_15_Male_12",12
"Thalamus_3_Male_12",12
"Thalamus_4_Female_12",12
"Thalamus_6_Male_12",12
"Thalamus_7_Female_12",12
"Thalamus_9_Male_12",12
"Visual Cortex_1_Female_12",12
"Visual Cortex_10_Female_12",12
"Visual Cortex_13_Female_12",12
"Visual Cortex_15_Male_12",12
"Visual Cortex_3_Male_12",12
"Visual Cortex_4_Female_12",12
"Visual Cortex_6_Male_12",12
"Visual Cortex_7_Female_12",12
"Corpus callosum_18_Male_15",15
"Corpus callosum_22_Male_15",15
"Corpus callosum_26_Male_15",15
"Corpus callosum_30_Male_15",15
"Corpus callosum_34_Male_15",15
"Corpus callosum_38_Female_15",15
"Corpus callosum_42_Female_15",15
"Corpus callosum_46_Female_15",15
"Corpus callosum_50_Female_15",15
"Corpus callosum_54_Female_15",15
"Cerebellum_18_Male_15",15
"Cerebellum_22_Male_15",15
"Cerebellum_26_Male_15",15
"Cerebellum_30_Male_15",15
"Cerebellum_34_Male_15",15
"Cerebellum_38_Female_15",15
"Cerebellum_42_Female_15",15
"Cerebellum_46_Female_15",15
"Cerebellum_50_Female_15",15
"Cerebellum_54_Female_15",15
"Motor cortex_18_Male_15",15
"Motor cortex_22_Male_15",15
"Motor cortex_26_Male_15",15
"Motor cortex_30_Male_15",15
"Motor cortex_34_Male_15",15
"Motor cortex_38_Female_15",15
"Motor cortex_42_Female_15",15
"Motor cortex_46_Female_15",15
"Motor cortex_50_Female_15",15
"Motor cortex_54_Female_15",15
"Caudate putamen_18_Male_15",15
"Caudate putamen_22_Male_15",15
"Caudate putamen_26_Male_15",15
"Caudate putamen_30_Male_15",15
"Caudate putamen_34_Male_15",15
"Caudate putamen_38_Female_15",15
"Caudate putamen_42_Female_15",15
"Caudate putamen_46_Female_15",15
"Caudate putamen_50_Female_15",15
"Caudate putamen_54_Female_15",15
"Entorhinal cortex_18_Male_15",15
"Entorhinal cortex_22_Male_15",15
"Entorhinal cortex_26_Male_15",15
"Entorhinal cortex_30_Male_15",15
"Entorhinal cortex_34_Male_15",15
"Entorhinal cortex_38_Female_15",15
"Entorhinal cortex_42_Female_15",15
"Entorhinal cortex_46_Female_15",15
"Entorhinal cortex_50_Female_15",15
"Entorhinal cortex_54_Female_15",15
"Hippocampus (posterior)_18_Male_15",15
"Hippocampus (posterior)_22_Male_15",15
"Hippocampus (posterior)_26_Male_15",15
"Hippocampus (posterior)_30_Male_15",15
"Hippocampus (posterior)_34_Male_15",15
"Hippocampus (posterior)_38_Female_15",15
"Hippocampus (posterior)_42_Female_15",15
"Hippocampus (posterior)_46_Female_15",15
"Hippocampus (posterior)_50_Female_15",15
"Hippocampus (posterior)_54_Female_15",15
"Hippocampus (anterior)_18_Male_15",15
"Hippocampus (anterior)_22_Male_15",15
"Hippocampus (anterior)_26_Male_15",15
"Hippocampus (anterior)_30_Male_15",15
"Hippocampus (anterior)_34_Male_15",15
"Hippocampus (anterior)_38_Female_15",15
"Hippocampus (anterior)_46_Female_15",15
"Hippocampus (anterior)_50_Female_15",15
"Hippocampus (anterior)_54_Female_15",15
"Hypothalamus_18_Male_15",15
"Hypothalamus_22_Male_15",15
"Hypothalamus_26_Male_15",15
"Hypothalamus_30_Male_15",15
"Hypothalamus_34_Male_15",15
"Hypothalamus_38_Female_15",15
"Hypothalamus_42_Female_15",15
"Hypothalamus_46_Female_15",15
"Hypothalamus_50_Female_15",15
"Hypothalamus_54_Female_15",15
"Medulla_18_Male_15",15
"Medulla_22_Male_15",15
"Medulla_26_Male_15",15
"Medulla_30_Male_15",15
"Medulla_34_Male_15",15
"Medulla_38_Female_15",15
"Medulla_42_Female_15",15
"Medulla_46_Female_15",15
"Medulla_50_Female_15",15
"Medulla_54_Female_15",15
"Olfactory bulb_18_Male_15",15
"Olfactory bulb_22_Male_15",15
"Olfactory bulb_26_Male_15",15
"Olfactory bulb_30_Male_15",15
"Olfactory bulb_34_Male_15",15
"Olfactory bulb_38_Female_15",15
"Olfactory bulb_42_Female_15",15
"Olfactory bulb_46_Female_15",15
"Olfactory bulb_50_Female_15",15
"Olfactory bulb_54_Female_15",15
"Choroid Plexus_18_Male_15",15
"Choroid Plexus_22_Male_15",15
"Choroid Plexus_26_Male_15",15
"Choroid Plexus_30_Male_15",15
"Choroid Plexus_34_Male_15",15
"Choroid Plexus_38_Female_15",15
"Choroid Plexus_42_Female_15",15
"Choroid Plexus_46_Female_15",15
"Choroid Plexus_50_Female_15",15
"Choroid Plexus_54_Female_15",15
"Pons_18_Male_15",15
"Pons_22_Male_15",15
"Pons_26_Male_15",15
"Pons_30_Male_15",15
"Pons_34_Male_15",15
"Pons_38_Female_15",15
"Pons_42_Female_15",15
"Pons_50_Female_15",15
"Pons_54_Female_15",15
"Subventricular zone_18_Male_15",15
"Subventricular zone_22_Male_15",15
"Subventricular zone_26_Male_15",15
"Subventricular zone_30_Male_15",15
"Subventricular zone_34_Male_15",15
"Subventricular zone_38_Female_15",15
"Subventricular zone_42_Female_15",15
"Subventricular zone_46_Female_15",15
"Subventricular zone_50_Female_15",15
"Subventricular zone_54_Female_15",15
"Thalamus_18_Male_15",15
"Thalamus_22_Male_15",15
"Thalamus_26_Male_15",15
"Thalamus_30_Male_15",15
"Thalamus_34_Male_15",15
"Thalamus_38_Female_15",15
"Thalamus_42_Female_15",15
"Thalamus_46_Female_15",15
"Thalamus_50_Female_15",15
"Thalamus_54_Female_15",15
"Visual Cortex_18_Male_15",15
"Visual Cortex_22_Male_15",15
"Visual Cortex_26_Male_15",15
"Visual Cortex_30_Male_15",15
"Visual Cortex_34_Male_15",15
"Visual Cortex_38_Female_15",15
"Visual Cortex_42_Female_15",15
"Visual Cortex_46_Female_15",15
"Visual Cortex_50_Female_15",15
"Visual Cortex_54_Female_15",15
"Corpus callosum_19_Male_18",18
"Corpus callosum_23_Male_18",18
"Corpus callosum_27_Male_18",18
"Corpus callosum_31_Male_18",18
"Corpus callosum_35_Male_18",18
"Corpus callosum_39_Female_18",18
"Corpus callosum_43_Female_18",18
"Corpus callosum_47_Female_18",18
"Corpus callosum_51_Female_18",18
"Corpus callosum_55_Female_18",18
"Cerebellum_19_Male_18",18
"Cerebellum_23_Male_18",18
"Cerebellum_27_Male_18",18
"Cerebellum_31_Male_18",18
"Cerebellum_35_Male_18",18
"Cerebellum_39_Female_18",18
"Cerebellum_43_Female_18",18
"Cerebellum_47_Female_18",18
"Cerebellum_51_Female_18",18
"Cerebellum_55_Female_18",18
"Motor cortex_19_Male_18",18
"Motor cortex_23_Male_18",18
"Motor cortex_27_Male_18",18
"Motor cortex_31_Male_18",18
"Motor cortex_35_Male_18",18
"Motor cortex_39_Female_18",18
"Motor cortex_43_Female_18",18
"Motor cortex_47_Female_18",18
"Motor cortex_51_Female_18",18
"Motor cortex_55_Female_18",18
"Caudate putamen_19_Male_18",18
"Caudate putamen_23_Male_18",18
"Caudate putamen_27_Male_18",18
"Caudate putamen_31_Male_18",18
"Caudate putamen_35_Male_18",18
"Caudate putamen_39_Female_18",18
"Caudate putamen_43_Female_18",18
"Caudate putamen_47_Female_18",18
"Caudate putamen_51_Female_18",18
"Caudate putamen_55_Female_18",18
"Entorhinal cortex_19_Male_18",18
"Entorhinal cortex_23_Male_18",18
"Entorhinal cortex_35_Male_18",18
"Entorhinal cortex_39_Female_18",18
"Entorhinal cortex_43_Female_18",18
"Entorhinal cortex_47_Female_18",18
"Entorhinal cortex_51_Female_18",18
"Entorhinal cortex_55_Female_18",18
"Hippocampus (posterior)_19_Male_18",18
"Hippocampus (posterior)_23_Male_18",18
"Hippocampus (posterior)_27_Male_18",18
"Hippocampus (posterior)_31_Male_18",18
"Hippocampus (posterior)_35_Male_18",18
"Hippocampus (posterior)_39_Female_18",18
"Hippocampus (posterior)_43_Female_18",18
"Hippocampus (posterior)_47_Female_18",18
"Hippocampus (posterior)_51_Female_18",18
"Hippocampus (posterior)_55_Female_18",18
"Hippocampus (anterior)_19_Male_18",18
"Hippocampus (anterior)_23_Male_18",18
"Hippocampus (anterior)_27_Male_18",18
"Hippocampus (anterior)_31_Male_18",18
"Hippocampus (anterior)_35_Male_18",18
"Hippocampus (anterior)_39_Female_18",18
"Hippocampus (anterior)_43_Female_18",18
"Hippocampus (anterior)_47_Female_18",18
"Hippocampus (anterior)_51_Female_18",18
"Hippocampus (anterior)_55_Female_18",18
"Hypothalamus_19_Male_18",18
"Hypothalamus_23_Male_18",18
"Hypothalamus_27_Male_18",18
"Hypothalamus_31_Male_18",18
"Hypothalamus_35_Male_18",18
"Hypothalamus_39_Female_18",18
"Hypothalamus_43_Female_18",18
"Hypothalamus_47_Female_18",18
"Hypothalamus_51_Female_18",18
"Hypothalamus_55_Female_18",18
"Medulla_19_Male_18",18
"Medulla_23_Male_18",18
"Medulla_27_Male_18",18
"Medulla_31_Male_18",18
"Medulla_35_Male_18",18
"Medulla_39_Female_18",18
"Medulla_43_Female_18",18
"Medulla_47_Female_18",18
"Medulla_51_Female_18",18
"Medulla_55_Female_18",18
"Olfactory bulb_19_Male_18",18
"Olfactory bulb_23_Male_18",18
"Olfactory bulb_27_Male_18",18
"Olfactory bulb_31_Male_18",18
"Olfactory bulb_35_Male_18",18
"Olfactory bulb_39_Female_18",18
"Olfactory bulb_43_Female_18",18
"Olfactory bulb_47_Female_18",18
"Olfactory bulb_51_Female_18",18
"Olfactory bulb_55_Female_18",18
"Choroid Plexus_19_Male_18",18
"Choroid Plexus_23_Male_18",18
"Choroid Plexus_27_Male_18",18
"Choroid Plexus_31_Male_18",18
"Choroid Plexus_35_Male_18",18
"Choroid Plexus_39_Female_18",18
"Choroid Plexus_43_Female_18",18
"Choroid Plexus_47_Female_18",18
"Choroid Plexus_51_Female_18",18
"Choroid Plexus_55_Female_18",18
"Pons_19_Male_18",18
"Pons_23_Male_18",18
"Pons_31_Male_18",18
"Pons_35_Male_18",18
"Pons_39_Female_18",18
"Pons_43_Female_18",18
"Pons_47_Female_18",18
"Pons_51_Female_18",18
"Pons_55_Female_18",18
"Subventricular zone_23_Male_18",18
"Subventricular zone_27_Male_18",18
"Subventricular zone_31_Male_18",18
"Subventricular zone_35_Male_18",18
"Subventricular zone_39_Female_18",18
"Subventricular zone_43_Female_18",18
"Subventricular zone_47_Female_18",18
"Subventricular zone_51_Female_18",18
"Subventricular zone_55_Female_18",18
"Thalamus_19_Male_18",18
"Thalamus_23_Male_18",18
"Thalamus_27_Male_18",18
