"","age","region","bio","AMPdGMP","AdG","C","G","GMP","I","UMPpseudoUMP","UpseudoU","ca5dC","dA","dAMP","dCTP","dITP","f5dC","f5dCTP","m6Am","m6dA","mA","mChm5dC","mG","mU"
"11","15M","cerebellum","2",57.2210710948419,12.8073756301189,1.1872757980895,0.0564006908638885,5.91055561354762,96.5762796815834,1.03022848903325,9.62618948646833,0.0134358799080883,3.19363966329052,0.826521720454399,0,0,1.59959236268788,0,0.559409941977541,1.6901980252863,1.70346873722892,624.437961480098,0.14315852031432,0.316149528063486
"12","15M","cerebellum","3",53.1394391279277,9.52431300633971,0.610523398718061,0.0262442005123979,4.68034757759497,91.4969494755412,0.741387407061818,7.75429158513564,0.0288760063060947,2.3204686058639,0.341818028350043,0.087368839153674,0,1.24791383835561,0,0.235665512105832,1.30121519653823,1.31444527132691,580.709740007406,0.0817923366087457,0.233092678298955
"13","15M","corpus callosum","1",77.703048572659,1.14477049558786,0.77454485759374,0.546179052377246,7.54804323776417,166.994576660537,1.41358040605003,1.65405619198597,0,4.17283059994859,0,0,0,1.15584596128207,0,0.605368834261347,2.89422832550008,0.6736744418412,473.806109336117,0,0
"14","15M","corpus callosum","2",63.0691073506717,2.45653906630607,0.272574444440923,0.255957597346765,4.82554961124889,119.605859680849,0.520149164559929,0.332212489918944,0,1.91801001377532,0,0,0,0.34782619347369,0,0.709780558294516,2.23915331288916,0,422.530484267148,0.132240614778741,0.124161475350144
"15","15M","corpus callosum","3",55.340282329328,1.2928828552323,0.420003748499259,0,3.19986385411947,101.710337899266,0.729916312839139,1.00437027794379,0,3.35173092790722,0,0,0,0,0,0,2.46475770399462,1.22510407331748,477.884040547869,0,0
"16","15M","cortex","1",71.9017956143466,22.1375255619337,0.837859647348599,0.032713245228346,8.87859184602907,94.3470979145476,1.05653708335937,4.62571197409115,0,3.79773434671803,0.318601785061431,0,0,0.668541706670032,0.0502997872541419,0.500785609611734,2.17527101425536,1.32009256262873,507.765267959058,0.0953236148048977,0.179745008553215
"17","15M","cortex","2",61.5970853382971,16.1093225223866,0.462553604901291,0,6.48443726374236,78.0636165765252,0.914388166799746,3.15505855233361,0,2.30416686804317,0.351606343515767,0,0.0458143560762335,0.444417160239968,0,0.445115661216508,1.22954159952056,1.35030520529517,492.260940327206,0.0722822668770748,0.196784851719984
"18","15M","cortex","3",57.38309186049,19.6470749416612,0.180214458695027,0.0468281387551396,6.34092520737827,70.323963250988,0.77678779498578,3.00836521657537,0,3.01253689767199,0.203339170233809,0,0.0222472862923524,0.555027349829437,0.0298112984040347,0.365527043251035,1.76808587121105,1.69188282673804,463.935423823486,0.0314213931166834,0.177125293602312
"19","15M","fornix","1",60.4040927423777,1.88934396141488,0,0.674903984317395,0,149.636618440499,0.971549688016194,0.958389652692671,0,0.890561237362409,0,0,0,0,0,2.25006397206797,0,0,407.629573225286,1.75651393984502,0
"20","15M","fornix","2",55.8340587751537,1.99361234778681,1.29330171185957,0.708159306209125,3.94005364246177,159.7849118908,0,1.67773435332211,0,1.41689107146587,0,0,0,0,0,0,0.630302025686282,0.837661215109368,531.902013903735,0,0
